 Count  Overhead File                    Line Function
     7         0 @NuclearDetonation/…ansport/met_reader.jl  303 copy_met_fields!(dst::MeteoFields…
     7         0 @Base/subarray.jl       216 view
     7         0 @Base/subarray.jl       249 unsafe_view
     7         0 @Base/subarray.jl        28 SubArray
     7         0 @Base/subarray.jl        38 SubArray
     7         0 @Base/subarray.jl       469 compute_offset1
     7         0 @NuclearDetonation/…port/orchestration.jl  910 integrate_timestep!(state::Simula…
     7         1 @NuclearDetonation/…port/orchestration.jl 1897 run_simulation!(state::Simulation…
     8         8 @Base/reduce.jl         417 _mapreduce
     8         8 @Base/int.jl            353 &
     8         7 @NuclearDetonation/…port/orchestration.jl  793 (::NuclearDetonation.Transport.va…
     8         0 @NuclearDetonation/…ransport/particles.jl  322 is_active
     8         0 @Base/reducedim.jl      989 any
     8         0 @Base/reducedim.jl      989 #any#756
     8         0 @NuclearDetonation/…hybrid_coordinates.jl  185 height_from_sigma(profile::Hybrid…
     8         3 @NuclearDetonation/…port/orchestration.jl 1434 integrate_timestep!(state::Simula…
     8         8 @NuclearDetonation/…port/orchestration.jl  965 integrate_timestep!(state::Simula…
     8         0 @Base/reduce.jl         801 _extrema_rf
     8         8 @Base/sort.jl             ? (::Interpolations.Extrapolation{F…
     8         8 @Base/int.jl            519 <
     8         0 @Base/ryu/shortest.jl    73 reduce_shortest
     9         0 @NuclearDetonation/…/particle_dynamics.jl  522 create_wind_interpolants(met_fiel…
     9         0 @Base/subarray.jl       315 getindex
     9         0 @Base/abstractarray.jl  449 firstindex
     9         0 @Base/io.jl             803 unsafe_write
     9         0 @Base/iostream.jl       380 open(fname::String, mode::String;…
     9         0 @Base/iostream.jl       296 open
     9         0 @Base/strings/io.jl     149 print_to_string(::Int64, ::String…
     9         0 @Base/iobuffer.jl       245 GenericIOBuffer
     9         0 @Base/iobuffer.jl       266 #IOBuffer#390
     9         8 @NuclearDetonation/…port/orchestration.jl 1035 integrate_timestep!(state::Simula…
     9         1 @Base/intfuncs.jl       911 append_c_digits_fast(olength::Int…
     9         0 @Base/array.jl          595 zeros
     9         0 @NuclearDetonation/…ansport/simulation.jl  164 exner_func
     9         0 @Base/math.jl          1159 ^(x::Float64, y::Float64)
     9         0 @Base/boot.jl           668 Array
     9         0 @Base/boot.jl           662 Array
     9         0 @Base/boot.jl           654 Array
    10         0 @NuclearDetonation/…/particle_dynamics.jl  467 create_wind_interpolants(met_fiel…
    10        10 @NuclearDetonation/…port/orchestration.jl  779 (::NuclearDetonation.Transport.va…
    10         0 @NuclearDetonation/…hybrid_coordinates.jl  264 sigma_from_height(profile::Hybrid…
    10         0 @Base/io.jl             837 write
    10        10 @Base/essentials.jl       ? iterate
    10         9 @NuclearDetonation/…port/orchestration.jl 1397 integrate_timestep!(state::Simula…
    10         9 @NuclearDetonation/…port/orchestration.jl 1413 integrate_timestep!(state::Simula…
    10         0 @NuclearDetonation/…port/orchestration.jl  441 integrate_timestep!(state::Simula…
    10        10 @Base/iterators.jl      198 iterate
    10         1 @Base/ryu/shortest.jl   354 writeshortest(buf::Vector{UInt8},…
    10         4 @NuclearDetonation/…port/orchestration.jl  778 (::NuclearDetonation.Transport.va…
    10         0 @NuclearDetonation/…port/orchestration.jl 1283 integrate_timestep!(state::Simula…
    10        10 @Base/operators.jl      642 +
    10         0 @NuclearDetonation/…/particle_dynamics.jl  494 create_wind_interpolants(met_fiel…
    10         0 @Base/array.jl          596 zeros
    10         0 @Base/array.jl          334 _fill!
    10         0 @NuclearDetonation/…port/orchestration.jl 1834 run_simulation!(state::Simulation…
    11        11 @Base/range.jl          351 steprange_last
    11         1 @Base/sort.jl           310 searchsortedlast(v::Vector{Float3…
    11         0 @NuclearDetonation/…hybrid_coordinates.jl  233 sigma_from_height(profile::Hybrid…
    11        11 @Base/essentials.jl       ? getindex
    11        11 @Base/sort.jl             ? height_from_sigma(profile::Hybrid…
    11         9 @NuclearDetonation/…port/orchestration.jl  862 (::NuclearDetonation.Transport.va…
    11         0 @NuclearDetonation/…/particle_dynamics.jl  542 create_wind_interpolants(met_fiel…
    11        11 @Base/Base_compiler.jl   57 setproperty!(x::Particle, f::Symb…
    11         0 @NuclearDetonation/…ansport/simulation.jl  860 accumulate_concentration!(fields:…
    12        11 @NuclearDetonation/…port/orchestration.jl 1408 integrate_timestep!(state::Simula…
    12         0 @Base/range.jl           22 Colon
    12         0 @Base/range.jl           24 _colon
    12         0 @Base/range.jl          391 StepRange
    12         1 @Base/range.jl          336 StepRange
    12         0 @Interpolations/src/Interpolations.jl  313 _weight_itp
    12        12 @NuclearDetonation/…port/orchestration.jl 1017 integrate_timestep!(state::Simula…
    12        12 @Base/Base_compiler.jl   58 setproperty!(x::Particle, f::Symb…
    12         0 @NuclearDetonation/…port/orchestration.jl  915 integrate_timestep!(state::Simula…
    13         0 @Base/abstractarray.jl 1095 copyto_unaliased!(deststyle::Inde…
    13        13 @Base/abstractarray.jl 1234 iterate
    13         0 @Interpolations/…tion/extrapolation.jl   51 (::Interpolations.Extrapolation{F…
    13         0 @Base/promotion.jl      434 *
    13         0 @NuclearDetonation/…t/turbulence_hanna.jl  213 compute_neutral_turbulence(z::Flo…
    13        13 @NuclearDetonation/…port/orchestration.jl 1291 integrate_timestep!(state::Simula…
    13         0 @NuclearDetonation/…port/orchestration.jl  868 (::NuclearDetonation.Transport.va…
    13        11 @Base/views.jl          150 maybeview(::Array{Float64, 3}, ::…
    13        12 @NuclearDetonation/…port/orchestration.jl 1404 integrate_timestep!(state::Simula…
    14         0 @Base/set.jl            927 _replace!(new::NuclearDetonation.…
    14        13 @NuclearDetonation/…port/orchestration.jl 1396 integrate_timestep!(state::Simula…
    14        14 @NuclearDetonation/…port/orchestration.jl    ? integrate_timestep!(state::Simula…
    14         0 @Interpolations/…c/gridded/indexing.jl   21 gradient
    14         0 @Base/sort.jl           310 #searchsortedlast#5
    14         0 @Base/sort.jl           308 searchsortedlast
    14        14 @Base/math.jl             ? Extrapolation
    14         5 @NuclearDetonation/…port/orchestration.jl 1026 integrate_timestep!(state::Simula…
    14         0 @Base/simdloop.jl        78 macro expansion
    14         0 @Base/abstractarray.jl  689 checkbounds
    14         0 …port/cpu_reference.jl  155 run_reference_simulation(params::…
    15         0 @Base/abstractarray.jl 1233 iterate
    15        15 @NuclearDetonation/…port/orchestration.jl 1373 integrate_timestep!(state::Simula…
    15        15 @NuclearDetonation/…port/orchestration.jl  781 (::NuclearDetonation.Transport.va…
    15         3 @Base/strings/io.jl     248 print(io::IOBuffer, s::String)
    15         8 @NuclearDetonation/…port/orchestration.jl  578 integrate_timestep!(state::Simula…
    16        16 @Base/Base_compiler.jl   54 getproperty
    16        16 @NuclearDetonation/…port/orchestration.jl 1155 integrate_timestep!(state::Simula…
    16         2 @Base/subarray.jl       338 getindex
    16         1 @Base/ryu/Ryu.jl        118 show(io::IOBuffer, x::Float64, fo…
    16        13 @NuclearDetonation/…port/orchestration.jl 1284 integrate_timestep!(state::Simula…
    16        16 @NuclearDetonation/…hybrid_coordinates.jl  227 sigma_from_height(profile::Hybrid…
    16         0 @Base/fastmath.jl       295 exp_fast
    16        15 @NuclearDetonation/…port/orchestration.jl 1290 integrate_timestep!(state::Simula…
    17        17 @Base/essentials.jl      11 length
    17        17 @Base/iostream.jl        43 unsafe_write(s::IOStream, p::Ptr{…
    17        17 @NuclearDetonation/…port/orchestration.jl 1433 integrate_timestep!(state::Simula…
    17         0 @NuclearDetonation/…port/orchestration.jl 1536 integrate_timestep!(state::Simula…
    17        17 @NuclearDetonation/…port/orchestration.jl 1021 integrate_timestep!(state::Simula…
    17        17 @NuclearDetonation/…port/orchestration.jl 1302 integrate_timestep!(state::Simula…
    17         4 @Base/special/exp.jl    330 exp_fast(x::Float64)
    17         0 @Base/array.jl          730 collect
    17         0 @Base/array.jl          746 _collect_indices(indsA::Tuple{Bas…
    17         0 @NuclearDetonation/…ansport/simulation.jl  823 accumulate_concentration!(fields:…
    17         0 @NuclearDetonation/…ansport/simulation.jl  974 clear_concentration!(fields::Conc…
    17         0 @Base/array.jl          333 _fill!
    17         0 @Base/boot.jl           604 new_as_memoryref
    18         1 @NuclearDetonation/…port/orchestration.jl 1422 integrate_timestep!(state::Simula…
    18        18 @NuclearDetonation/…port/orchestration.jl 1276 integrate_timestep!(state::Simula…
    18        16 @NuclearDetonation/…port/orchestration.jl  722 (::NuclearDetonation.Transport.va…
    18         0 @NuclearDetonation/…hybrid_coordinates.jl  151 height_from_sigma(profile::Hybrid…
    18        18 @Interpolations/…tion/extrapolation.jl    ? inbounds_position
    18         0 @NuclearDetonation/…/particle_dynamics.jl  665 create_wind_interpolants(met_fiel…
    18         0 @Base/range.jl          811 length(r::StepRange{Int64, Int64})
    18         4 @NuclearDetonation/…port/orchestration.jl 1151 integrate_timestep!(state::Simula…
    19         0 @NuclearDetonation/…port/orchestration.jl  496 integrate_timestep!(state::Simula…
    19         0 @NuclearDetonation/…hybrid_coordinates.jl  221 sigma_from_height
    19         5 @NuclearDetonation/…port/orchestration.jl  966 integrate_timestep!(state::Simula…
    19         0 @Base/array.jl          591 zeros
    19         0 @NuclearDetonation/…port/orchestration.jl 1895 run_simulation!(state::Simulation…
    19         0 @NuclearDetonation/…hybrid_coordinates.jl  291 kwcall(::@NamedTuple{fallback_hei…
    19         0 @NuclearDetonation/…hybrid_coordinates.jl  294 #height_from_sigma#57
    20        20 @Base/essentials.jl       ? hybrid_profile(winds::WindFields{…
    21         7 @NuclearDetonation/…port/orchestration.jl  520 integrate_timestep!(state::Simula…
    21        20 @NuclearDetonation/…port/orchestration.jl 1312 integrate_timestep!(state::Simula…
    21        21 @NuclearDetonation/…port/orchestration.jl 1277 integrate_timestep!(state::Simula…
    21         0 @NuclearDetonation/…/particle_dynamics.jl  652 create_wind_interpolants(met_fiel…
    21        19 @NuclearDetonation/…port/orchestration.jl  749 (::NuclearDetonation.Transport.va…
    22         4 @NuclearDetonation/…port/orchestration.jl  386 integrate_timestep!(state::Simula…
    22         3 @NuclearDetonation/…hybrid_coordinates.jl   96 hybrid_profile(winds::WindFields{…
    22        22 @NuclearDetonation/…port/orchestration.jl  863 (::NuclearDetonation.Transport.va…
    22         1 @Base/ryu/shortest.jl   314 writeshortest(buf::Vector{UInt8},…
    23         0 @NuclearDetonation/…/particle_dynamics.jl  552 replace_nan!
    23         0 @Base/set.jl            777 replace!
    23         0 @Base/set.jl            777 #replace!#310
    23         0 @NuclearDetonation/…port/orchestration.jl 1968 run_simulation!(state::Simulation…
    23        22 @NuclearDetonation/…port/orchestration.jl 1306 integrate_timestep!(state::Simula…
    23        23 @NuclearDetonation/…port/orchestration.jl 1292 integrate_timestep!(state::Simula…
    23         2 @Interpolations/…c/gridded/indexing.jl   22 (::Interpolations.var"#gradient##…
    23         3 @Interpolations/…tion/extrapolation.jl   45 (::Interpolations.Extrapolation{F…
    24         7 @Base/abstractarray.jl  699 checkbounds
    24         0 @Base/array.jl          322 copyto!
    24         0 @Base/array.jl          299 copyto!
    24         0 @Base/array.jl          308 _copyto_impl!
    24        24 @Base/array.jl          194 size
    24         0 @Base/subarray.jl       392 setindex!
    25         0 @Base/abstractarray.jl  389 eachindex
    25         0 @Base/abstractarray.jl 1096 copyto_unaliased!(deststyle::Inde…
    25        15 @NuclearDetonation/…port/orchestration.jl  524 integrate_timestep!(state::Simula…
    26         0 @NuclearDetonation/…hybrid_coordinates.jl   59 hybrid_profile(winds::WindFields{…
    26         0 @Base/operators.jl      425 >
    26         9 @NuclearDetonation/…port/orchestration.jl  784 (::NuclearDetonation.Transport.va…
    27         7 @NuclearDetonation/…port/orchestration.jl 1356 integrate_timestep!(state::Simula…
    27         5 @NuclearDetonation/…hybrid_coordinates.jl  143 height_from_sigma
    27         0 @Base/subarray.jl       517 axes
    27         0 @Base/subarray.jl       522 _indices_sub
    27         0 @NuclearDetonation/…port/orchestration.jl 1162 integrate_timestep!(state::Simula…
    27         0 @Base/array.jl          329 fill!
    28         0 @Base/strings/io.jl      46 print
    28         0 @Base/strings/io.jl     248 print
    28        28 @Base/math.jl             ? hybrid_profile(winds::WindFields{…
    28        28 @NuclearDetonation/…port/orchestration.jl 1415 integrate_timestep!(state::Simula…
    28        28 @Base/float.jl          497 *
    29         0 @NuclearDetonation/…hybrid_coordinates.jl  259 sigma_from_height(profile::Hybrid…
    29         0 @Base/sort.jl           308 searchsortedfirst(v::SubArray{Flo…
    29         0 @NuclearDetonation/…t/turbulence_hanna.jl  179 compute_hanna_parameters
    31        31 @Base/operators.jl      642 *
    31        29 @NuclearDetonation/…port/orchestration.jl  750 (::NuclearDetonation.Transport.va…
    31         0 @NuclearDetonation/…port/orchestration.jl 1034 integrate_timestep!(state::Simula…
    31        31 @Base/math.jl             ? max
    32         0 @Base/strings/io.jl      77 println
    32        11 @NuclearDetonation/…port/orchestration.jl  385 integrate_timestep!(state::Simula…
    32         0 @Base/abstractarray.jl  137 axes1
    33        32 @NuclearDetonation/…port/orchestration.jl  790 (::NuclearDetonation.Transport.va…
    33        33 @Base/tuple.jl          549 _eq
    34        22 @NuclearDetonation/…port/orchestration.jl  513 integrate_timestep!(state::Simula…
    34         1 @Base/range.jl          683 size
    34        14 @Base/range.jl          921 iterate
    35        32 @Base/strings/io.jl     146 print_to_string(::Int64, ::String…
    36         0 @Base/subarray.jl       316 getindex
    36         0 @NuclearDetonation/…/particle_dynamics.jl  604 create_wind_interpolants(met_fiel…
    37         0 @Base/float.jl          632 _fpint
    37         0 @Interpolations/…tion/extrapolation.jl   50 Extrapolation
    38         6 @NuclearDetonation/…port/orchestration.jl  384 integrate_timestep!(state::Simula…
    38         0 @Base/tuple.jl          544 ==
    38        38 @Base/float.jl          495 +
    38        18 @NuclearDetonation/…port/orchestration.jl 1440 integrate_timestep!(state::Simula…
    39         7 @Interpolations/…tion/extrapolation.jl   48 (::Interpolations.Extrapolation{F…
    39        39 @Base/essentials.jl     733 reinterpret
    40         0 @Base/strings/io.jl     246 write
    40         6 @NuclearDetonation/…port/orchestration.jl 1033 integrate_timestep!(state::Simula…
    41        40 @NuclearDetonation/…port/orchestration.jl  777 (::NuclearDetonation.Transport.va…
    41        23 @NuclearDetonation/…port/orchestration.jl 1417 integrate_timestep!(state::Simula…
    42        42 @Base/math.jl             ? inbounds_position
    42        23 @NuclearDetonation/…port/orchestration.jl  518 integrate_timestep!(state::Simula…
    44        32 @NuclearDetonation/…port/orchestration.jl 1439 integrate_timestep!(state::Simula…
    44         6 @NuclearDetonation/…hybrid_coordinates.jl   91 hybrid_profile(winds::WindFields{…
    45        16 @NuclearDetonation/…port/orchestration.jl 1008 integrate_timestep!(state::Simula…
    45         0 @NuclearDetonation/…hybrid_coordinates.jl  153 height_from_sigma(profile::Hybrid…
    47         0 @NuclearDetonation/…port/orchestration.jl  727 (::NuclearDetonation.Transport.va…
    49         0 @Base/abstractarray.jl 1235 iterate
    49         0 @Base/abstractarray.jl 1388 _getindex
    49         5 @NuclearDetonation/…port/orchestration.jl 1150 integrate_timestep!(state::Simula…
    49         0 @Interpolations/src/Interpolations.jl  311 _weight_itp
    51         0 @Base/abstractarray.jl 1097 copyto_unaliased!(deststyle::Inde…
    51         0 @Base/abstractarray.jl 1342 getindex
    52         0 @NuclearDetonation/…hybrid_coordinates.jl   60 hybrid_profile(winds::WindFields{…
    53         0 @Interpolations/…tion/extrapolation.jl  150 maxp
    54         0 @Base/abstractarray.jl  452 first
    54        54 @Base/sort.jl             ? Extrapolation
    55         0 @NuclearDetonation/…port/orchestration.jl  728 (::NuclearDetonation.Transport.va…
    55         0 @Base/ntuple.jl          71 ntuple
    55         0 @Base/ntuple.jl          74 macro expansion
    55        55 @Base/strings/string.jl  120 unsafe_wrap
    56         0 @Interpolations/src/Interpolations.jl  154 bounds
    56         0 @Interpolations/…rc/gridded/gridded.jl  175 lbounds
    56         0 @Base/broadcast.jl      672 _broadcast_getindex
    56         0 @Base/broadcast.jl      699 _broadcast_getindex_evalf
    57         0 @Base/broadcast.jl     1124 copy
    57         0 @Base/broadcast.jl     1124 #copy##0
    58        46 @Base/essentials.jl     919 getindex
    58         0 @Base/abstractarray.jl   98 axes
    59         0 @Base/iterators.jl      197 iterate
    59        57 @NuclearDetonation/…port/orchestration.jl 1313 integrate_timestep!(state::Simula…
    61         0 @Interpolations/src/Interpolations.jl  304 interp_getindex
    67         0 @NuclearDetonation/…port/orchestration.jl  726 (::NuclearDetonation.Transport.va…
    67        18 @NuclearDetonation/…port/orchestration.jl  785 (::NuclearDetonation.Transport.va…
    67         0 @Base/array.jl          901 iterate
    67         2 @Base/ryu/Ryu.jl        116 show(io::IOBuffer, x::Float64, fo…
    70         0 @Base/broadcast.jl      995 macro expansion
    72        13 @NuclearDetonation/…port/orchestration.jl 1311 integrate_timestep!(state::Simula…
    72        72 @Base/strings/string.jl  109 _string_n
    73         0 @Base/broadcast.jl      994 copyto!
    74         0 @Base/sort.jl           310 searchsortedfirst
    74         0 @Base/sort.jl           310 #searchsortedfirst#4
    75         0 @Interpolations/…rc/gridded/gridded.jl  166 interpolate
    75         0 @Interpolations/…rc/gridded/gridded.jl  149 interpolate
    76         0 @Base/array.jl          355 copy
    77        28 @NuclearDetonation/…port/orchestration.jl 1310 integrate_timestep!(state::Simula…
    78        78 @Base/math.jl           835 min
    85         5 @NuclearDetonation/…hybrid_coordinates.jl  221 kwcall(::@NamedTuple{fallback_sig…
    89         0 @Base/abstractarray.jl 1070 copyto!
    90         0 @Base/abstractarray.jl 3088 offsetin
    93         0 @Base/boot.jl           647 Array
    99         0 @Interpolations/…tion/extrapolation.jl  149 minp
   100         0 @Base/genericmemory.jl  125 unsafe_copyto!
   103         0 @Interpolations/…tion/extrapolation.jl  131 inbounds_index
   103       103 @Base/int.jl            379 xor
   105         0 @Base/broadcast.jl      902 materialize!
   105         0 @Base/broadcast.jl      905 materialize!
   105         0 @Base/broadcast.jl      988 copyto!
   107        18 @NuclearDetonation/…hybrid_coordinates.jl  143 kwcall(::@NamedTuple{fallback_hei…
   108       108 @Base/cmem.jl            28 memmove
   110         0 @Base/sort.jl           191 searchsortedfirst
   111         0 @Interpolations/…tion/extrapolation.jl  151 maxp
   120        32 @NuclearDetonation/…port/orchestration.jl  917 integrate_timestep!(state::Simula…
   126         0 @Base/int.jl            139 signbit
   126         0 @Base/ryu/Ryu.jl        114 show(io::IOBuffer, x::Float64, fo…
   126         0 @Base/iobuffer.jl       168 StringVector
   127         0 @Base/iobuffer.jl       167 StringMemory
   129        38 @NuclearDetonation/…port/orchestration.jl 1389 integrate_timestep!(state::Simula…
   129        38 @NuclearDetonation/…port/orchestration.jl  912 integrate_timestep!(state::Simula…
   133         0 @Base/array.jl          354 copy
   134       134 @Base/math.jl           839 max
   136       136 @Base/array.jl          356 copy
   139         0 @NuclearDetonation/…port/orchestration.jl 1909 run_simulation!(state::Simulation…
   140         0 @Interpolations/…c/gridded/indexing.jl   70 weightedindex
   146        35 @NuclearDetonation/…port/orchestration.jl 1305 integrate_timestep!(state::Simula…
   148         0 @Base/promotion.jl      404 promote
   148         0 @Base/promotion.jl      379 _promote
   150         0 @Base/number.jl           7 convert
   156       156 @Base/float.jl          345 Float64
   160       154 @Base/array.jl          991 _setindex!
   164         0 @Base/array.jl          986 setindex!
   167         0 @Base/float.jl          712 isfinite
   171       171 @Base/int.jl             86 -
   174         0 @Interpolations/…c/gridded/indexing.jl   61 weightedindex_parts2
   178         0 @Base/broadcast.jl      947 copyto!
   182        30 @NuclearDetonation/…hybrid_coordinates.jl   56 hybrid_profile(winds::WindFields{…
   185       185 @Base/bool.jl            40 &
   186         0 @Base/sort.jl           190 searchsortedfirst
   186       186 @Base/int.jl            536 >>>
   189       189 @Base/int.jl             88 *
   191       168 @Base/intfuncs.jl      1340 clamp
   194         0 @NuclearDetonation/…port/orchestration.jl 1998 run_simulation!(state::Simulation…
   194         0 @Base/sort.jl           189 searchsortedfirst
   195       195 @Base/int.jl              ? searchsortedfirst
   195         0 @Base/operators.jl      321 !=
   198       198 @Base/float.jl          623 <
   204         0 @NuclearDetonation/…/particle_dynamics.jl  396 kwcall(::@NamedTuple{config::ERA5…
   213         2 @Base/ryu/Ryu.jl        113 show
   218        51 @NuclearDetonation/…port/orchestration.jl 1295 integrate_timestep!(state::Simula…
   218       218 @Base/promotion.jl      637 ==
   218         1 @Base/strings/io.jl      35 print(io::IOBuffer, x::Float64)
   244       244 @Base/boot.jl           588 GenericMemory
   256       256 @Base/boot.jl           499 Box
   266       266 @Base/sort.jl             ? searchsortedfirst
   267         0 @Interpolations/…tion/extrapolation.jl  102 inbounds_position
   267         0 @Interpolations/…tion/extrapolation.jl  108 inbounds_index
   267         0 @Interpolations/…tion/extrapolation.jl  128 inbounds_index
   268       142 @Base/floatfuncs.jl      16 signbit
   268         0 @NuclearDetonation/…hybrid_coordinates.jl  132 hybrid_profile(winds::WindFields{…
   270         0 @Base/reduce.jl         802 _extrema_rf
   270        14 @NuclearDetonation/…port/orchestration.jl  455 integrate_timestep!(state::Simula…
